86374	83	80	94
92010	62	71	66
67620	72	71	72
63739	80	92	58
59119	84	61	58
17008	85	92	52
17934	98	52	60
54744	66	55	73
74094	71	83	81
22791	85	54	55
23182	87	66	71
77864	83	63	47
10316	93	62	69
23250	74	77	75
59202	69	83	76
20965	87	61	68
62260	86	60	92
66823	56	63	48
70049	89	85	72
33804	73	53	53
52570	61	66	77
98475	100	91	97
87257	51	49	98
69711	74	93	46
79280	51	71	84
91648	94	68	83
20634	98	76	95
91475	65	97	99
39788	47	84	97
71575	63	59	52
71246	56	56	67
64032	97	90	81
10248	90	91	86
33517	61	87	75
64243	62	73	90
55000	98	60	89
35887	55	47	61
10046	89	74	84
96053	55	60	63
37377	67	98	47
85223	100	83	83
83774	47	45	94
33393	53	77	58
31856	91	60	72
63488	91	54	66
80283	89	46	89
87136	90	55	89
91612	70	51	71
60120	57	53	63
87164	53	72	89
56772	95	74	59
71086	80	76	97
87648	93	48	78
92791	73	56	84
82403	48	81	52
96981	66	67	51
47640	75	52	63
23785	49	87	76
78041	59	78	51
66246	52	68	93
85459	89	95	75
14562	68	61	100
35881	81	67	67
30809	55	73	71
25732	87	67	62
29566	96	49	81
96382	64	75	89
60097	47	87	52
81094	83	49	77
71253	80	55	94
87210	92	95	80
37743	54	65	54
25999	53	54	99
68562	87	56	97
89034	75	54	70
13964	69	95	70
83586	50	99	53
38195	91	49	69
66209	49	73	67
86862	85	56	69
89728	76	49	59
14492	73	71	75
19425	79	60	93
26301	69	88	100
37773	93	100	91
95967	64	87	80
33700	87	83	46
52388	57	60	71
60519	45	82	75
12874	89	83	65
60191	70	90	99
50851	53	62	79
66533	73	76	76
98018	63	69	100
95518	93	80	76
31717	70	74	58
58809	90	90	60
59885	49	70	65
26204	97	71	61
28190	69	99	78
51039	62	80	81
19775	64	52	75
83968	76	61	87
58750	96	60	50
25171	62	57	67
96491	69	68	83
25955	72	88	61
60824	47	55	46
38351	70	81	51
28459	93	51	88
65188	75	49	66
71983	89	99	50
26539	96	92	80
37776	70	54	64
57992	94	67	85
87354	81	74	57
99147	57	66	58
17813	54	51	49
93364	98	49	89
15561	61	69	83
33380	94	66	50
51786	53	53	98
42128	99	45	45
51421	96	49	56
45803	88	90	92
65850	96	73	74
64845	63	51	75
96026	65	72	51
59456	51	98	67
80046	61	67	47
49419	91	79	57
49373	55	79	85
50092	89	92	86
78656	83	75	78
36017	100	75	59
24441	54	97	69
79167	71	76	55
88034	81	61	69
22504	77	90	66
82921	68	71	86
33354	54	55	59
47426	76	85	46
49414	77	50	80
44279	45	73	60
55797	50	82	98
42187	71	90	69
13514	90	93	84
31795	50	99	46
46610	92	57	81
39050	58	92	55
24394	73	54	63
34621	55	64	63
27136	72	56	78
76527	71	66	70
58073	57	82	90
74712	47	50	99
10201	94	55	51
49187	66	93	83
71708	83	75	67
96766	52	95	71
10745	56	68	45
80569	46	93	83
79649	98	85	79
42800	82	95	84
30429	57	98	76
27493	72	60	75
68233	51	50	49
73625	90	68	67
35714	90	77	57
65662	97	93	100
22242	55	72	83
94647	53	82	99
26350	90	98	66
47211	95	77	95
15386	69	51	80
90405	84	85	54
41754	79	61	97
38575	56	76	83
51232	84	90	84
42459	56	65	52
43956	84	79	79
83653	56	82	90
56460	89	60	77
72340	69	56	56
30168	61	70	97
41454	52	66	53
40715	50	92	76
41494	78	82	92
33860	95	66	68
14826	88	58	72
73217	48	81	81
77896	87	64	80
49103	88	93	88
42259	89	68	74
44054	93	51	51
99604	64	85	95
65236	81	98	91
92038	58	100	67
68296	45	67	45
97741	96	53	77
43513	99	50	86
21743	90	81	60
97255	86	49	89
72723	98	78	95
26596	67	84	66
45946	81	86	94
54923	86	80	50
36779	71	46	53
35645	77	69	73
71406	76	58	68
41560	51	79	54
60864	81	53	78
16284	63	89	95
38559	75	56	77
65028	92	87	86
82920	95	63	95
26314	87	51	82
87659	70	70	75
30929	94	87	53
68997	75	78	89
99395	70	64	56
71722	48	85	79
64818	97	59	99
23671	46	93	84
76840	47	83	99
78294	46	86	73
13149	59	76	83
62719	55	64	79
29761	90	91	97
59620	52	52	85
92284	71	57	66
27456	63	85	58
74535	66	63	46
13317	51	66	100
37903	83	50	67
88097	55	50	90
83567	67	75	60
55004	92	73	51
55412	98	87	93
69594	82	73	54
58730	93	50	87
56219	89	80	48
38275	83	70	69
39521	69	54	94
98000	48	55	81
43314	60	46	46
50906	65	49	70
84612	90	97	83
44397	91	77	47
64434	85	81	58
44205	82	60	75
82094	95	86	50
55238	97	59	72
59136	50	76	85
60960	48	55	97
85989	59	53	74
64039	46	74	82
82527	68	81	86
71788	92	98	56
17511	73	57	80
40880	84	91	84
82258	99	50	79
69517	56	80	62
15531	86	93	99
92036	91	96	56
15708	85	79	75
64553	49	50	63
34067	77	72	61
79631	66	71	94
76756	99	68	72
79741	88	93	61
95937	91	58	95
55924	52	71	82
90507	55	83	55
67869	59	89	66
51019	52	48	96
55883	52	48	87
38908	58	58	77
99468	56	51	54
73285	96	56	76
